gene,gene_name,zscore,effect_size,pvalue,VAR_g,pred_perf_R2,pred_perf_p,pred_perf_q,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000164707,SLC13A4,-1.75926098591,-0.0961530459241,0.0785331899378,0.0881691890041,0.154199787239,2.32553699245e-35,9.82349189465e-35,22,22,22
ENSG00000137968,SLC44A5,1.75859845491,0.0959350693257,0.0786457356144,0.430569887274,0.491210219294,3.81471914304e-137,8.55939792725e-136,70,70,70
ENSG00000146733,PSPH,-1.75775489574,-0.0959333643247,0.0787892228594,0.30759647018,0.303552171706,2.54969409625e-74,2.19490332952e-73,9,9,9
ENSG00000123983,ACSL3,1.75743322759,0.0983432877874,0.0788439938474,0.0230178497992,0.02385361595,2.45768662728e-06,4.30454661807e-06,31,31,31
ENSG00000188672,RHCE,1.75684818421,0.0952339215619,0.0789436895872,0.114368734016,0.112966654245,8.75397108845e-26,2.97008122633e-25,58,58,58
ENSG00000176024,ZNF613,1.75626313309,0.0975764431819,0.0790434891711,0.137563933168,0.195722797717,1.81485444571e-45,9.41822218455e-45,7,7,7
ENSG00000170954,ZNF415,-1.75539630826,-0.0966314842104,0.0791915431047,0.269145396961,0.293343429311,2.09400266611e-71,1.72699493521e-70,74,74,74
TREX1,TREX1,1.75538619444,0.0964928579576,0.0791932718782,0.224098524835,0.274335482628,4.34568707655e-66,3.27443046254e-65,22,22,22
ENSG00000136244,IL6,-1.75371054996,-0.101427581245,0.0794801168867,0.00182208012677,0.000342853789529,0.5744410028,0.68115417583,4,4,4
ENSG00000169169,CPT1C,-1.75344934813,-0.0938310106047,0.0795249067003,0.131591297593,0.175469489664,1.78130160092e-40,8.41819999486e-40,31,31,31
ENSG00000143344,RGL1,-1.75322827992,-0.0986311207156,0.0795628305976,0.0653434381366,0.0546412395726,6.573989394e-13,1.51215533197e-12,66,67,67
ENSG00000140043,PTGR2,-1.75291323899,-0.0969917676441,0.0796169007693,0.417453980063,0.422677468337,7.22430347105e-112,1.12206722898e-110,60,61,61
C19orf73,C19orf73,1.75286816604,0.0961825617782,0.0796246390384,0.0201816471181,0.0176413345229,5.22132272225e-05,8.52908862394e-05,27,27,27
ENSG00000063761,ADCK1,1.75270794682,0.0923195181257,0.0796521509392,0.642095867969,0.732023923052,2.58026736124e-265,2.88005944193e-263,91,92,92
ENSG00000005882,PDK2,-1.75232872729,-0.0991629541798,0.0797172990738,0.0708847444278,0.172082911358,1.185144491e-39,5.50212833662e-39,15,16,16
ENSG00000103512,NOMO1,1.75173068248,0.0940547982137,0.0798201283725,0.0301099524833,0.0468501897101,3.08747401757e-11,6.70267352653e-11,9,9,9
ENSG00000160783,PMF1,1.75167128115,0.0933620320878,0.0798303478667,0.00350528429875,0.00160130657622,0.224781405378,0.280891450686,8,8,8
ENSG00000149922,TBX6,1.75164010317,0.0989445981426,0.0798357121989,0.437475992457,0.424275091094,2.01547120435e-112,3.15645317865e-111,75,75,75
ENSG00000197594,ENPP1,-1.75124973645,-0.0982265798599,0.0799029016066,0.0255509113699,0.0264369800695,6.92481214809e-07,1.24531268163e-06,41,42,42
ENSG00000158747,NBL1,1.75085311252,0.0977893257706,0.0799712150563,0.451354963005,0.487821670263,8.11066029601e-136,1.78042511265e-134,93,97,97
ENSG00000169567,HINT1,-1.75054039659,-0.0974246141414,0.0800251098725,0.00822570614211,0.00758088918749,0.00816378985183,0.0115805359331,10,10,10
ENSG00000165102,HGSNAT,-1.75050302384,-0.0925350187003,0.0800315528279,0.0455194269414,0.0243870407595,1.89183955803e-06,3.332988071e-06,36,36,36
C7orf59,C7orf59,1.74995108468,0.0963049286923,0.0801267546542,0.0354440497699,0.061449913287,2.23448565495e-14,5.39216023477e-14,9,9,9
ENSG00000161904,LEMD2,1.74990404154,0.0957037847407,0.0801348731953,0.0514880113333,0.0700774419632,2.99652889218e-16,7.770679669e-16,33,33,33
